2024/03/05 01:29:12 loading corpus...
2024/03/05 01:29:12 successfully loaded corpus with 0 records...
2024/03/05 01:29:12 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_7978757ab36487b53cdcabb995f29f3e978a3934/seeds exists
2024/03/05 01:29:12 Read seed : reproducer_1
2024/03/05 01:29:12 serving http on http://127.0.0.1:56747
2024/03/05 01:29:12 serving rpc on tcp://[::]:36229
2024/03/05 01:29:12 booting test machines...
2024/03/05 01:29:12 wait for the connection from test machine...
2024/03/05 01:30:28 machine check:
2024/03/05 01:30:28 syscalls                : 3925/4501
2024/03/05 01:30:28 code coverage           : enabled
2024/03/05 01:30:28 comparison tracing      : enabled
2024/03/05 01:30:28 extra coverage          : enabled
2024/03/05 01:30:28 delay kcov mmap         : mmap returned an invalid pointer
2024/03/05 01:30:28 setuid sandbox          : enabled
2024/03/05 01:30:28 namespace sandbox       : enabled
2024/03/05 01:30:28 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:30:28 fault injection         : enabled
2024/03/05 01:30:28 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:30:28 net packet injection    : enabled
2024/03/05 01:30:28 net device setup        : enabled
2024/03/05 01:30:28 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:30:28 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:30:28 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:30:28 USB emulation           : enabled
2024/03/05 01:30:28 hci packet injection    : enabled
2024/03/05 01:30:28 wifi device emulation   : enabled
2024/03/05 01:30:28 802.15.4 emulation      : enabled
2024/03/05 01:30:28 swap file               : enabled
2024/03/05 01:30:28 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:30:28 seeds                   : 1/1
2024/03/05 01:47:12 VMs 4, executed 106638, cover 47610, signal 63494/76609, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:22 VMs 4, executed 108057, cover 47769, signal 63767/76771, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:32 VMs 4, executed 109516, cover 47894, signal 63983/76955, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:42 VMs 4, executed 110866, cover 48044, signal 64223/77225, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:52 VMs 4, executed 112129, cover 48113, signal 64335/78976, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:02 VMs 4, executed 112795, cover 48193, signal 64464/79857, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:12 VMs 4, executed 113676, cover 48253, signal 64573/79943, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:22 VMs 4, executed 114506, cover 48343, signal 64709/80271, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:32 VMs 4, executed 115619, cover 48487, signal 64961/80876, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:42 VMs 4, executed 116657, cover 49291, signal 66008/81507, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:52 VMs 4, executed 117715, cover 49412, signal 66198/82307, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:02 VMs 4, executed 118537, cover 49501, signal 66327/82774, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:12 VMs 4, executed 119750, cover 49728, signal 66619/83460, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:22 VMs 4, executed 121088, cover 49765, signal 66674/84308, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:32 VMs 4, executed 122528, cover 50713, signal 67488/85859, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:42 VMs 4, executed 123785, cover 50951, signal 67810/86440, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:52 VMs 4, executed 124889, cover 51033, signal 68074/86785, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:02 VMs 4, executed 125865, cover 51281, signal 68449/89570, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:12 VMs 4, executed 127100, cover 53176, signal 71135/90076, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:22 VMs 4, executed 128425, cover 53728, signal 71831/90774, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:32 VMs 4, executed 129755, cover 53931, signal 72140/90891, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:42 VMs 4, executed 130957, cover 54146, signal 72510/90953, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:52 VMs 4, executed 132264, cover 54282, signal 72762/90999, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:02 VMs 4, executed 133249, cover 54650, signal 73269/91062, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:12 VMs 4, executed 134572, cover 55123, signal 73669/91162, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:22 VMs 4, executed 135852, cover 55391, signal 74178/91289, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:32 VMs 4, executed 137086, cover 55586, signal 74493/91397, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:42 VMs 4, executed 138054, cover 55688, signal 74660/91445, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:52 VMs 4, executed 139021, cover 55801, signal 74830/91486, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:02 VMs 4, executed 139895, cover 56055, signal 75260/91649, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:12 VMs 4, executed 140886, cover 56113, signal 75359/91702, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:22 VMs 4, executed 141889, cover 56181, signal 75457/91945, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:32 VMs 4, executed 143061, cover 56343, signal 75729/92026, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:42 VMs 4, executed 143901, cover 56451, signal 75897/92068, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:52 VMs 4, executed 144880, cover 56621, signal 76254/92260, crashes 0, repro 0, triageQLen 0
