2024/03/05 00:59:26 loading corpus...
2024/03/05 00:59:26 successfully loaded corpus with 0 records...
2024/03/05 00:59:26 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_143483113691b505887ce6a9a4328ca2f17a4425/seeds exists
2024/03/05 00:59:26 Read seed : reproducer_1
2024/03/05 00:59:26 serving http on http://127.0.0.1:56746
2024/03/05 00:59:26 serving rpc on tcp://[::]:35543
2024/03/05 00:59:26 booting test machines...
2024/03/05 00:59:26 wait for the connection from test machine...
2024/03/05 01:00:19 machine check:
2024/03/05 01:00:19 syscalls                : 3931/4501
2024/03/05 01:00:19 code coverage           : enabled
2024/03/05 01:00:19 comparison tracing      : enabled
2024/03/05 01:00:19 extra coverage          : enabled
2024/03/05 01:00:19 delay kcov mmap         : enabled
2024/03/05 01:00:19 setuid sandbox          : enabled
2024/03/05 01:00:19 namespace sandbox       : enabled
2024/03/05 01:00:19 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:00:19 fault injection         : enabled
2024/03/05 01:00:19 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:00:19 net packet injection    : enabled
2024/03/05 01:00:19 net device setup        : enabled
2024/03/05 01:00:19 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:00:19 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:00:19 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:00:19 USB emulation           : enabled
2024/03/05 01:00:19 hci packet injection    : enabled
2024/03/05 01:00:19 wifi device emulation   : enabled
2024/03/05 01:00:19 802.15.4 emulation      : enabled
2024/03/05 01:00:19 swap file               : enabled
2024/03/05 01:00:19 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:00:19 seeds                   : 1/1
2024/03/05 01:14:26 VMs 4, executed 98377, cover 43388, signal 57597/78769, crashes 0, repro 0, triageQLen 0
2024/03/05 01:14:36 VMs 4, executed 99412, cover 43731, signal 58049/78850, crashes 0, repro 0, triageQLen 0
2024/03/05 01:14:46 VMs 4, executed 100422, cover 43999, signal 58406/78911, crashes 0, repro 0, triageQLen 0
2024/03/05 01:14:56 VMs 4, executed 101524, cover 44219, signal 58717/78975, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:06 VMs 4, executed 102625, cover 44304, signal 58895/79079, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:16 VMs 4, executed 103492, cover 44816, signal 59518/79611, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:26 VMs 4, executed 104324, cover 45122, signal 59893/79702, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:36 VMs 4, executed 105490, cover 45137, signal 59959/79761, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:46 VMs 4, executed 106320, cover 45395, signal 60301/79965, crashes 0, repro 0, triageQLen 0
2024/03/05 01:15:56 VMs 4, executed 106935, cover 45465, signal 60419/80312, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:06 VMs 4, executed 107730, cover 45466, signal 60510/80446, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:16 VMs 4, executed 108312, cover 45467, signal 60516/80536, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:26 VMs 4, executed 108876, cover 45467, signal 60516/80591, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:36 VMs 4, executed 109601, cover 45467, signal 60516/80691, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:46 VMs 4, executed 110173, cover 45467, signal 60516/80776, crashes 0, repro 0, triageQLen 0
2024/03/05 01:16:56 VMs 4, executed 110798, cover 45467, signal 60529/80820, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:06 VMs 4, executed 111579, cover 45467, signal 60529/80856, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:16 VMs 4, executed 112159, cover 45475, signal 60534/80889, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:26 VMs 4, executed 112745, cover 45475, signal 60557/80928, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:36 VMs 4, executed 113507, cover 45479, signal 60685/80988, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:46 VMs 4, executed 114130, cover 45479, signal 60687/81018, crashes 0, repro 0, triageQLen 0
2024/03/05 01:17:56 VMs 4, executed 114736, cover 45479, signal 60687/81051, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:06 VMs 4, executed 115516, cover 45486, signal 60693/81085, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:16 VMs 4, executed 116114, cover 45486, signal 60693/81105, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:26 VMs 4, executed 116743, cover 45511, signal 61295/81130, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:36 VMs 4, executed 117528, cover 45511, signal 61295/81144, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:46 VMs 4, executed 118143, cover 45511, signal 61295/81161, crashes 0, repro 0, triageQLen 0
2024/03/05 01:18:56 VMs 4, executed 118749, cover 45511, signal 61295/81179, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:06 VMs 4, executed 119564, cover 45571, signal 61414/81207, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:16 VMs 4, executed 120151, cover 45572, signal 61439/81239, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:26 VMs 4, executed 120701, cover 45572, signal 61439/81260, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:36 VMs 4, executed 121539, cover 45572, signal 61439/81298, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:46 VMs 4, executed 122020, cover 45575, signal 61447/81309, crashes 0, repro 0, triageQLen 0
2024/03/05 01:19:56 VMs 4, executed 122648, cover 45578, signal 61468/81429, crashes 0, repro 0, triageQLen 0
2024/03/05 01:20:06 VMs 4, executed 123496, cover 45598, signal 61477/81463, crashes 0, repro 0, triageQLen 0
